date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2024-01-02,SN,208700.0,sn2401,210380.0,sn2402,210700.0,2401,2402,1680.0,2000.0,0.008049832295160542,0.009583133684714973
2024-01-02,AU,481.2,au2401,481.0,au2404,484.1,2401,2404,-0.19999999999998863,2.900000000000034,-0.00041562759767244106,0.006026600166251006
2024-01-02,AG,5970.67,ag2401,6032.0,ag2402,6036.0,2401,2402,61.32999999999993,65.32999999999993,0.010271879035351095,0.010941820599698282
2024-01-02,RB,3966.22,rb2401,4041.0,rb2405,4047.0,2401,2405,74.7800000000002,80.7800000000002,0.01885422392101299,0.020366999309165967
2024-01-02,WR,4155.2,wr2401,4250.0,wr2405,4215.0,2401,2405,94.80000000000018,59.80000000000018,0.022814786291875278,0.014391605698883314
2024-01-02,HC,4096.0,hc2401,4130.0,hc2405,4146.0,2401,2405,34.0,50.0,0.00830078125,0.01220703125
2024-01-02,FU,5476.0,fu2402,2983.0,fu2403,2999.0,2402,2403,-2493.0,-2477.0,-0.4552593133674214,-0.45233747260774293
2024-01-02,BU,3452.29,bu2401,3667.0,bu2403,3740.0,2401,2403,214.71000000000004,287.71000000000004,0.06219350054601436,0.08333888520373445
2024-01-02,RU,13180.0,ru2401,14030.0,ru2405,14205.0,2401,2405,850.0,1025.0,0.06449165402124435,0.07776934749620645
2024-01-02,SP,5850.0,sp2401,5740.0,sp2405,5854.0,2401,2405,-110.0,4.0,-0.018803418803418848,0.0006837606837606369
2024-01-02,SS,13962.5,ss2401,13730.0,ss2402,13830.0,2401,2402,-232.5,-132.5,-0.016651745747538027,-0.009489704565801227
2024-01-02,BR,12470.0,br2401,12695.0,br2403,12760.0,2401,2403,225.0,290.0,0.018043303929430543,0.023255813953488413
2024-01-02,SI,15620.0,SI2401,14295.0,SI2402,14365.0,2401,2402,-1325.0,-1255.0,-0.0848271446862996,-0.08034571062740081
2024-01-02,LC,103200.0,LC2401,102450.0,LC2407,108350.0,2401,2407,-750.0,5150.0,-0.007267441860465129,0.049903100775193776
